Coal or metal,Commodity,Mine name,Mine type,Operator,Operator ID,State,Status
M ,"Crushed, Broken Stone NEC ",Newberg Rock & Dirt,Surface,Newberg Rock & Dirt  ,3503598,OR,Active 
M ,Construction Sand and Gravel ,Allied Dirt Moving Co Pit & Plant,Surface,Allied Dirt Moving Company  ,0502030,CO,Abandoned 
M ,Construction Sand and Gravel ,AM Dirtworks & Aggregate Sales,Surface,AM Dirtworks & Aggregate Sales  ,4801789,ND,Abandoned 
C ,Coal (Bituminous) ,Unit Train Loading Facility,Facility,Atlas-Dirty Devil Mining  ,4201449,UT,Abandoned 
C ,Coal (Bituminous) ,Blackie Surface Mine & Prep Plant,Surface,Atlas-Dirty Devil Mining  ,4201450,UT,Abandoned 
M ,Construction Sand and Gravel ,"Hitt Pit, Inc.",Surface,Babe's Dirt Work  ,1002257,ID,Abandoned 
M ,Construction Sand and Gravel ,Bar-Lin Dirt Pit,Surface,Bar-Lin Dirt Company  ,1601167,LA,Abandoned 
M ,Construction Sand and Gravel ,Barber'S Dirt Pit,Surface,Barber'S Dirt Pit  ,4103265,TX,Abandoned 
M ,Construction Sand and Gravel ,BENDER SAND & DIRT,Surface,Bender Sand & Dirt  ,1401575,KS,Intermittent 
M ,Construction Sand and Gravel ,BERT'S DIRT,Surface,BERT'S DIRT  ,1700776,ME,Abandoned 
M ,Construction Sand and Gravel ,Dorothy V Pit,Surface,Big D Dirt Service Inc  ,1601251,LA,Abandoned 
M ,Construction Sand and Gravel ,Big Red Dirt Farm,Surface,Big Red Dirt Farm LLC  ,0301963,AR,Abandoned 
M ,Construction Sand and Gravel ,Big River Dirt Pit,Surface,Big River Dirt Pit  ,1601082,LA,Abandoned 
M ,Construction Sand and Gravel ,Harris Pit,Surface,Bob Harris Dirt Contracting  ,3401751,OK,Abandoned 
M ,Construction Sand and Gravel ,BOHANNON SAND & DIRT,Surface,Bohannon Sand & Dirt  ,1600916,LA,Abandoned 
M ,Construction Sand and Gravel ,Eubanks Pit,Surface,Bratcher'S Sand & Dirt  ,3401211,OK,Abandoned 
M ,Construction Sand and Gravel ,Brewer Pit,Surface,Brewer Dirt Works  ,0301267,AR,Abandoned 
M ,Construction Sand and Gravel ,Buck'S Dirt Pit,Surface,Buck'S Dirt Pit  ,1600956,LA,Abandoned 
M ,Common Clays NEC ,Laurel Brick & Tile,Surface,C & G Dirt Hauling  ,2200033,MS,Abandoned 
M ,Construction Sand and Gravel ,Foster Canyon,Surface,"C N C Dirt Movers, Inc.  ",0504953,NM,Abandoned 
M ,"Sand, Industrial NEC ",Cambridge #1,Surface,Cambridge Dirt Sand and Gravel LLC  ,3401929,OK,Abandoned 
M ,Construction Sand and Gravel ,Woolstock,Surface,Central Iowa Dirt & Demo LLC  ,1302445,IA,Abandoned 
M ,Construction Sand and Gravel ,Crowes Dirt Pit,Surface,Crowes Trucking & Dirt Pit Services  ,1601106,LA,Abandoned 
M ,Construction Sand and Gravel ,D & H Dirt,Surface,D & H Dirt  ,3400915,OK,Abandoned 
M ,Construction Sand and Gravel ,Amite Acres Dredge,Surface,Diez Dirt & Sand Hauling Inc  ,1600983,LA,Abandoned 
M ,Common Clays NEC ,Dirt Cheap,Surface,Dirt Cheap  ,4503200,WA,Abandoned 
M ,Construction Sand and Gravel ,Pit #1,Surface,Dirt Company  ,3401266,OK,Abandoned 
M ,Construction Sand and Gravel ,Hicks Pit,Surface,Dirt Company  ,3401468,OK,Abandoned 
M ,Construction Sand and Gravel ,Bush Pilot,Surface,Dirt Company  ,5001797,AK,Intermittent 
M ,"Crushed, Broken Limestone NEC ",Hog Lick Quarry,Surface,Dirt Con  ,4608254,WV,Abandoned 
C ,Coal (Bituminous) ,Debco Mine,Surface,Dirt Diggers Inc  ,1510279,KY,Abandoned 
M ,Construction Sand and Gravel ,Rock Lake Plant,Surface,Dirt Doctor Inc  ,2103723,MN,Intermittent 
M ,Common Clays NEC ,Harrison Pit,Surface,Dirt Inc  ,0100776,AL,Abandoned 
